"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"321",3293,22,"2","31","2",1047,"INSTITUTO TECNOLÓGICO DE CELAYA",0,2,4,1,"4",5,1,14,60,0,288,1,7,"1","1",4,4,10400,1
"346",3320,13,"1","31","2",1297,"UNIVERSIDAD TECNOLÓGICA TULA-TEPEJI",1,0,1,1,"4",4,1,6,67,0,82,3,6,"1","1",3,3,16000,1
"351",3331,9,"1","32","2",693,"INSTITUTO POLITÉCNICO NACIONAL",1,0,1,0,"4",8,1,8,59,20,92,1,6,"1","1",2,2,14000,1
"357",3345,9,"2","30","1",1402,"UNIVERSIDAD DEL VALLE DE ATEMAJAC",1,2,1,0,"4",13,1,6,74,0,500,1,3,"0","1",3,3,15000,1
"362",3350,1,"1","32","2",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,0,0,0,"4",8,1,10,77,5,500,1,7,"1","1",4,4,16000,1
"363",3351,1,"1","36","2",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",0,0,0,0,"4",12,1,10,69,0,325,1,6,"1","1",4,4,7500,1
"365",3353,1,"1","32","2",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,0,1,0,"4",12,1,8,75,0,500,5,6,"1","1",4,4,8300,1
"377",3365,9,"2","33","1",1631,"UNIVERSIDAD DE CUAUTITLÁN IZCALLI",1,0,1,2,"2",9,1,16,117,3,155,1,6,"0","0",2,2,18000,0
"378",3366,9,"1","32","2",1631,"UNIVERSIDAD DE CUAUTITLÁN IZCALLI",1,3,3,1,"4",8,1,15,33,6,429,1,4,"0","1",3,3,18000,1
"389",3381,9,"1","31","2",2517,"UNIVERSIDAD DEL VALLE DE PUEBLA",1,0,0,0,"4",5,1,10,22,0,80,0,4,"0","1",3,3,15000,1
"397",3398,15,"1","31","1",1389,"UNIVERSIDAD AMÉRICA LATINA",0,0,0,0,"4",9,1,12,34,18,500,1,6,"0","1",4,4,7500,1
"404",3405,15,"2","34","2",630,"UNIVERSIDAD INSURGENTES",0,0,0,0,"4",4,1,4,18,0,86,0,4,"0","1",2,2,11000,1
"414",3416,9,"2","30","1",3462,"UNIVERSIDAD LATINO",0,0,4,0,"4",10,1,10,63,0,448,1,4,"0","1",5,5,15000,1
"423",3426,9,"2","34","2",3145,"UNIVERSIDAD AUTÓNOMA DE TAMAULIPAS",1,0,0,1,"4",6,1,10,41,27,500,1,3,"1","1",3,3,15000,1
"424",3427,9,"1","35","2",2020,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MORELOS",1,0,0,0,"4",10,1,10,20,0,111,1,6,"1","1",5,5,14000,1
"429",3432,9,"2","30","2",1187,"UNIVERSIDAD AUTÓNOMA DE GUERRERO",1,0,3,0,"4",3,1,10,40,0,191,0,10,"1","0",2,2,9000,1
"431",3434,19,"1","40","1",2194,"UNIVERSIDAD METROPOLITANA DE MONTERREY",1,0,2,1,"4",8,1,18,38,0,110,0,4,"0","1",5,5,10000,1
"435",3438,9,"2","37","1",3074,"INSTITUTO DE CIENCIAS Y ESTUDIOS SUPERIORES DE TAMAULIPAS, A.C.",1,3,2,1,"4",15,1,9,107,0,130,0,5,"0","1",3,3,18000,1
"458",3461,9,"1","31","2",630,"UNIVERSIDAD INSURGENTES",1,0,1,2,"4",13,1,8,56,0,9,1,4,"0","1",3,3,13000,1
"463",3466,9,"1","33","2",710,"UNIVERSIDAD AUTÓNOMA METROPOLITANA",0,0,5,0,"4",3,1,10,56,0,373,0,4,"1","1",5,4,11250,1
"470",3473,9,"1","30","1",1632,"UNIVERSIDAD DE ECATEPEC",1,4,0,0,"4",10,1,10,29,3,198,0,3,"0","1",3,3,18000,1
"472",3475,15,"2","31","2",1632,"UNIVERSIDAD DE ECATEPEC",1,1,0,0,"4",7,1,8,35,0,53,0,1,"0","1",3,3,13000,1
"482",3486,15,"2","34","2",628,"UNIVERSIDAD ICEL",1,1,1,2,"4",10,1,10,47,0,141,0,6,"0","1",3,3,18000,1
"485",3489,9,"2","34","2",628,"UNIVERSIDAD ICEL",1,2,5,0,"4",9,1,10,55,7,114,0,6,"0","1",3,3,15000,1
"490",3495,9,"1","30","1",628,"UNIVERSIDAD ICEL",1,0,0,0,"4",5,1,8,44,0,240,0,3,"0","1",3,3,12000,1
"503",3508,9,"2","29","2",3107,"UNIVERSIDAD DEL NORTE DE TAMAULIPAS",1,2,0,0,"4",5,1,10,61,16,173,0,7,"0","0",3,3,13000,1
"524",3529,8,"1","33","2",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,0,3,0,"3",10,1,0,76,0,253,0,5,"1","1",4,4,16000,1
"526",3531,9,"1","30","2",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,0,0,0,"4",7,1,8,40,2,336,0,6,"1","1",3,3,18000,1
"530",3535,9,"1","31","1",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,0,0,0,"4",4,1,10,71,0,124,0,9,"1","1",4,4,18000,1
"543",3554,9,"2","34","1",713,"UNIVERSIDAD PEDAGÓGICA NACIONAL",1,7,1,0,"4",7,1,8,63,0,459,0,3,"1","1",2,2,15000,1
"546",3557,9,"2","35","1",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,3,2,0,"4",13,1,14,92,25,500,1,3,"1","1",4,4,20000,1
"549",3560,15,"2","33","2",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,3,2,0,"4",9,1,16,104,105,500,0,4,"1","1",3,3,15000,1
"585",3599,9,"1","34","2",1759,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE IXTAPALUCA",1,0,1,0,"4",6,1,17,59,9,500,0,6,"1","1",3,3,18000,1
"590",3604,21,"2","34","1",2557,"BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA",1,2,0,0,"4",10,1,14,89,0,97,1,3,"1","1",4,4,24000,1
"593",3607,9,"1","31","2",2557,"BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA",1,0,0,3,"4",5,1,10,37,0,115,0,6,"1","1",3,3,18000,1
"614",3628,8,"2","34","2",855,"UNIVERSIDAD DE COLIMA",1,0,0,1,"4",8,1,8,18,1,265,0,7,"1","1",4,3,8500,1
"628",3645,9,"2","33","2",2325,"UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA",1,2,5,0,"4",8,1,16,48,10,156,0,3,"1","1",4,4,18000,1
"636",3653,9,"1","32","2",364,"UNIVERSIDAD AUTÓNOMA DE CHIAPAS",0,0,0,1,"1",9,1,6,56,0,247,0,6,"1","1",5,5,10500,0
"637",3654,9,"1","35","2",364,"UNIVERSIDAD AUTÓNOMA DE CHIAPAS",1,0,0,2,"4",12,1,8,55,0,280,0,6,"1","1",3,2,18000,1
"642",3660,9,"2","33","2",364,"UNIVERSIDAD AUTÓNOMA DE CHIAPAS",1,0,3,0,"4",10,1,8,43,0,200,0,6,"1","1",3,3,15000,1
"649",3670,14,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,1,0,0,"4",10,1,10,47,5,500,3,6,"1","1",5,4,10000,1
"657",3678,9,"2","35","2",640,"UNIVERSIDAD MARISTA",1,0,0,0,"1",10,1,10,43,0,51,0,4,"0","1",4,4,8000,0
"665",3686,9,"2","36","1",640,"UNIVERSIDAD MARISTA",1,1,2,3,"1",13,1,8,52,0,500,1,7,"0","1",4,4,10500,0
"668",3690,9,"2","31","2",640,"UNIVERSIDAD MARISTA",1,2,0,0,"4",6,1,10,56,0,500,4,2,"0","1",2,2,6800,1
"669",3691,9,"2","35","2",640,"UNIVERSIDAD MARISTA",1,0,1,2,"4",10,1,16,59,23,500,2,4,"0","1",5,5,11500,1
"678",3701,5,"2","37","1",289,"INSTITUTO LATINOAMERICANO DE ESTUDIOS SUPERIORES",1,2,1,0,"2",11,1,10,29,3,499,0,5,"0","1",4,3,10500,0
"696",3720,15,"1","34","2",3039,"UNIVERSIDAD JUÁREZ AUTÓNOMA DE TABASCO",1,0,1,0,"3",9,1,10,49,7,196,2,5,"1","1",3,2,7800,1
