"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"1972",1416,9,"1","31","1",1527,"CENTRO UNIVERSITARIO Y CULTURAL MORELOS",1,2,0,4,"4",3,1,7,251,0,500,6,2,"0","1",4,4,25000,1
"1974",1418,9,"2","32","1",2185,"UNIVERSIDAD DE MONTERREY",0,2,2,1,"1",14,1,4,97,24,332,0,2,"0","1",3,3,25000,0
"1977",1421,9,"1","31","1",268,"INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS",0,0,1,1,"4",9,1,8,137,139,500,0,2,"0","1",4,4,25000,1
"1981",1425,9,"1","36","2",1771,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO",1,0,4,3,"4",10,1,7,117,35,500,1,3,"1","1",2,2,10800,1
"1994",1440,9,"1","30","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,3,4,3,"4",5,1,5,59,18,500,0,7,"1","1",2,1,10500,1
"1995",1442,9,"2","30","1",851,"UNIVERSIDAD DE LAS AMÉRICAS Y EL CARIBE",0,0,11,2,"3",5,1,5,171,191,500,2,3,"0","1",3,3,15000,1
"2002",1450,9,"2","30","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,3,5,2,"4",5,1,10,53,0,500,0,7,"1","1",2,1,11000,1
"2011",1462,9,"1","32","2",1904,"INSTITUTO TECNOLÓGICO LÁZARO CÁRDENAS",1,4,2,2,"4",4,1,6,103,0,86,0,7,"1","1",2,2,11000,1
"2013",1464,9,"2","31","2",1008,"JUSTO SIERRA",1,1,2,1,"4",7,1,1,290,16,70,1,3,"0","0",2,2,11500,1
"2022",1475,9,"1","32","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,5,5,2,"4",8,1,7,99,3,47,11,7,"1","1",3,3,18000,1
"2039",1492,9,"2","29","2",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",1,13,6,4,"4",6,1,10,106,7,360,3,3,"0","1",3,3,16000,1
"2049",1503,9,"2","32","2",1774,"UNIVERSIDAD ESTATAL DEL VALLE DE ECATEPEC",1,0,0,0,"4",7,1,5,63,11,176,0,3,"1","1",2,2,15000,1
"2098",5050,16,"1","36","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,0,5,1,"4",10,1,1,67,0,322,7,6,"1","1",4,3,25000,1
"2110",5066,16,"2","35","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,1,5,0,"4",7,1,1,28,0,500,1,9,"1","0",3,3,25000,1
"2117",5077,9,"1","32","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,14,4,1,"4",10,1,1,89,0,415,3,4,"1","1",4,4,25000,1
"2125",5085,9,"1","35","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,5,2,2,"4",10,1,1,57,0,500,0,7,"1","1",3,3,15000,1
"2131",5093,9,"2","30","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,8,1,0,"4",6,1,1,62,0,500,9,3,"1","1",3,3,18000,1
"2151",5116,9,"2","30","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,1,5,"4",3,1,1,66,0,196,0,4,"1","1",4,4,20000,1
"2152",5117,9,"1","30","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,2,3,1,"4",8,1,1,49,0,500,3,7,"1","1",3,2,15000,1
"2175",5150,16,"2","33","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,4,3,1,"4",3,1,1,48,0,500,0,6,"1","1",3,3,15000,1
"2202",5194,16,"1","30","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,1,0,3,"4",10,1,1,28,0,100,0,2,"1","1",3,3,13000,1
"2203",5196,16,"2","27","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,3,2,1,"4",9,1,1,45,0,500,0,4,"1","1",3,3,15000,1
"2218",5218,16,"1","34","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,1,0,"4",6,1,1,36,0,500,0,3,"1","1",3,3,15000,1
"2219",5221,16,"1","35","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",10,1,1,17,0,42,0,5,"1","1",2,2,13000,1
"2221",5223,9,"2","31","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,2,2,0,"4",8,1,1,82,0,213,0,7,"1","1",4,4,23000,1
"2229",5232,16,"1","32","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",5,1,1,26,0,54,0,9,"1","1",3,3,15000,1
"2230",5234,16,"2","34","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,0,0,1,"4",10,1,1,17,0,145,0,3,"1","0",3,2,15000,1
"2233",5237,9,"1","34","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",5,1,1,24,0,42,0,4,"1","1",3,3,14000,1
"2235",5241,9,"2","35","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,0,0,0,"4",8,1,1,61,0,500,0,9,"1","1",3,3,15000,1
"2249",5265,9,"1","33","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,3,1,0,"4",8,1,2,40,0,289,0,7,"1","1",3,3,16000,1
"2252",5269,9,"2","31","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,3,1,0,"4",4,1,1,63,0,25,3,3,"1","1",3,3,16000,1
"2255",5273,16,"1","36","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",10,1,1,67,0,500,0,3,"1","1",3,2,15000,1
"2258",5277,16,"2","35","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,4,0,0,"4",8,1,2,22,0,500,0,4,"1","1",3,3,15000,1
"2261",5283,16,"1","33","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,1,"4",4,1,1,31,0,85,0,6,"1","1",3,3,15000,1
"2268",5296,9,"2","35","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,3,1,0,"4",14,1,1,90,0,171,1,7,"1","1",3,3,15000,1
"2280",5314,9,"2","33","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",9,1,1,15,0,500,1,3,"1","0",3,3,16000,1
"2281",5315,9,"1","33","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,0,"4",3,1,1,19,0,500,0,4,"1","1",2,2,14000,1
"2285",5320,9,"1","31","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,1,3,1,"2",8,1,1,87,0,309,0,7,"1","1",3,3,18000,0
"2290",5326,9,"1","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,0,"4",10,1,1,14,0,90,0,4,"1","1",3,3,18000,1
"2292",5328,9,"2","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,0,0,"4",9,1,1,26,0,500,0,6,"1","1",3,3,20000,1
"2293",5330,9,"1","29","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,4,4,"4",6,1,1,55,0,162,0,4,"1","1",3,3,15000,1
"2298",5335,9,"1","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,1,1,0,"4",10,1,1,38,0,281,0,6,"1","1",3,3,16000,1
"2307",5344,9,"1","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,1,0,"4",9,1,1,36,0,353,2,2,"1","1",3,2,18000,1
"2310",5347,9,"2","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,3,3,1,"4",10,1,1,41,0,278,2,4,"1","1",4,4,19000,1
"2311",5348,9,"2","36","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,4,0,"3",6,1,1,33,0,500,1,2,"1","1",3,3,17000,1
"2315",5353,9,"2","33","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,2,4,"4",5,1,1,38,0,500,1,4,"1","1",3,3,15000,1
"2316",5354,9,"2","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,1,0,0,"4",11,1,1,30,0,318,1,2,"1","0",3,3,13000,1
"2317",5355,9,"1","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,1,4,2,"1",9,1,1,66,0,500,0,7,"1","0",3,2,16000,0
"2320",5358,9,"2","28","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,0,"4",6,1,1,21,0,224,3,4,"1","1",2,2,13000,1
"2322",5361,9,"1","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,3,1,1,"4",10,1,1,42,0,467,0,4,"1","1",3,3,18000,1
"2323",5363,9,"2","30","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,3,0,"2",5,1,1,88,0,285,0,7,"1","1",3,3,19000,0
"2328",5368,9,"1","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,1,0,3,"4",11,1,1,34,0,291,0,2,"1","0",3,3,13000,1
"2329",5369,9,"1","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,2,3,"4",12,1,1,42,0,500,1,7,"1","1",3,3,18000,1
"2335",5375,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,2,0,"4",10,1,1,30,0,225,2,4,"1","0",3,3,15000,1
"2337",5377,9,"1","34","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,4,0,"4",10,1,1,27,0,190,1,3,"1","1",3,3,15000,1
"2342",5385,9,"2","33","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,0,"4",10,1,2,37,0,141,0,4,"1","1",3,3,30000,1
"2352",5402,9,"2","33","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,0,2,"4",12,1,1,46,0,110,0,2,"1","1",4,3,25000,1
"2357",5411,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,0,"4",7,1,1,11,0,500,0,3,"1","1",2,2,15000,1
"2358",5413,9,"1","36","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,4,4,2,"2",11,1,1,97,0,500,1,4,"1","1",4,3,20000,0
"2359",5417,9,"1","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,2,2,"4",10,1,1,20,0,500,2,3,"1","1",3,3,20000,1
"2360",5420,9,"2","30","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,3,0,"2",10,1,1,64,0,200,0,4,"1","1",3,3,18000,0
"2362",5422,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,1,"4",6,1,1,23,0,53,2,4,"1","1",4,4,21000,1
"2363",5423,9,"1","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,1,2,"4",10,1,1,22,0,147,0,3,"1","1",2,2,17000,1
"2376",5438,9,"1","32","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,0,1,"4",6,1,1,86,0,443,3,6,"1","1",5,4,13000,1
"2379",5441,9,"2","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,6,0,0,"4",6,1,1,37,0,500,0,7,"1","1",5,5,13500,1
"2380",5442,9,"1","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,2,0,"4",8,1,1,27,0,500,0,3,"1","1",4,4,12000,1
"2382",5445,9,"2","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,1,0,"4",9,1,1,37,0,236,0,3,"1","0",2,2,10500,1
"2384",5447,9,"2","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,5,2,1,"4",5,1,1,70,0,130,2,6,"1","1",4,3,22000,1
"2389",5452,9,"1","34","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,4,1,0,"4",8,1,1,38,0,296,0,6,"1","1",5,5,13500,1
"2394",5458,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,2,1,0,"4",6,1,2,28,0,233,0,3,"1","1",5,5,11000,1
"2401",5466,9,"2","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,2,2,1,"4",5,1,2,32,0,163,0,4,"1","1",3,3,14000,1
"2404",5469,9,"2","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,3,2,1,"4",12,1,1,43,0,57,3,3,"1","1",5,4,11000,1
"2406",5471,9,"2","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,0,"4",8,1,1,52,0,76,2,7,"1","1",4,4,20000,1
"2413",5479,9,"2","39","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,1,0,"4",15,1,1,27,0,68,0,4,"1","0",5,5,16000,1
"2420",5486,9,"1","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,0,"4",10,1,1,54,0,221,2,2,"1","1",4,3,30000,1
"2424",5495,9,"2","36","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,1,"4",10,1,1,23,0,119,0,2,"1","1",5,4,11000,1
"2425",5496,9,"1","33","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,7,1,1,"4",10,1,1,39,0,500,0,4,"1","1",5,5,13500,1
"2426",5497,9,"1","32","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,4,0,"1",4,1,1,100,0,113,0,4,"1","0",4,4,10000,0
"2427",5498,9,"1","33","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,2,2,0,"4",10,1,2,77,0,145,0,4,"1","1",5,5,15000,1
"2437",5511,9,"1","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,3,0,1,"4",4,1,1,27,0,500,1,3,"1","1",3,2,18000,1
"2439",5516,9,"2","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,1,"3",4,1,1,15,0,56,1,4,"1","1",4,4,11000,1
"2445",5522,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,1,1,5,"4",9,1,1,35,0,500,1,4,"1","1",3,3,17000,1
"2449",5527,9,"2","27","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,2,5,"4",5,1,2,17,0,500,2,3,"1","1",3,3,17000,1
"2450",5528,9,"1","29","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,3,0,1,"4",5,1,1,49,0,241,2,7,"1","1",3,3,16000,1
"2451",5529,9,"1","36","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,2,2,0,"2",12,1,1,63,0,334,2,5,"1","1",3,2,17000,0
"2459",5537,9,"2","34","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,1,0,"4",9,1,1,32,0,185,2,3,"1","1",4,3,20000,1
"2465",5545,9,"1","33","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,3,5,2,"4",3,1,1,62,0,149,5,10,"1","1",4,3,14000,1
"2469",5550,9,"1","32","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,0,"4",10,1,1,27,0,201,1,11,"1","1",4,4,35000,1
"2471",5552,9,"1","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,5,0,4,"4",3,1,1,23,0,238,0,4,"1","1",2,2,13000,1
"2472",5553,9,"1","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,0,2,"4",5,1,1,54,0,500,1,3,"1","1",5,5,12500,1
"2479",5564,9,"1","30","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,1,1,"2",10,1,1,52,0,500,0,2,"1","1",5,5,14000,0
"2484",5572,9,"2","32","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,3,2,"4",10,1,1,36,0,500,1,7,"1","1",3,3,20000,1
"2494",5585,9,"2","36","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,0,1,"4",10,1,1,71,0,301,0,4,"1","1",5,5,15000,1
"2497",5588,9,"1","30","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,2,4,1,"4",7,1,1,43,0,500,1,6,"1","1",4,4,25000,1
"2498",5589,9,"2","29","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,4,7,2,"4",7,1,1,101,0,500,2,7,"1","1",3,3,22000,1
"2505",5597,9,"1","30","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,2,0,0,"4",4,1,1,25,0,132,0,4,"1","1",4,4,9500,1
"2506",5598,9,"1","32","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,4,0,0,"4",7,1,2,92,0,323,0,7,"1","1",5,5,16000,1
"2518",5617,9,"1","31","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,2,9,2,"4",8,1,1,74,0,373,6,4,"1","1",3,2,15000,1
"2523",5623,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,3,4,"2",4,1,1,32,0,500,0,4,"1","1",3,3,18000,0
"2524",5625,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,4,0,0,"4",5,1,1,28,0,321,1,4,"1","0",3,3,20000,1
"2526",5628,9,"1","28","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,7,4,0,"2",8,1,1,73,0,31,1,4,"1","1",5,5,13500,0
"2537",5641,9,"1","35","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,2,0,0,"4",5,1,1,117,0,500,6,3,"1","1",4,4,20000,1
"2540",5645,9,"2","27","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,3,1,"4",15,1,1,21,0,293,0,4,"1","1",5,5,12500,1
"2553",5659,9,"1","33","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,0,0,"4",12,1,2,39,0,500,1,4,"1","1",5,5,13600,1
"2555",5661,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,4,0,0,"4",12,1,1,39,0,157,0,6,"1","1",3,3,20000,1
"2560",5666,9,"2","30","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,3,6,1,"4",7,1,1,51,0,73,10,4,"1","1",3,3,18000,1
"2566",5673,9,"2","32","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,5,0,2,"3",9,1,1,77,0,260,0,3,"1","0",3,3,15000,1
"2569",5677,9,"1","30","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,1,0,"2",6,1,1,47,0,500,1,4,"1","1",3,3,15000,0
"2572",5681,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,2,1,"2",11,1,1,33,0,234,1,3,"1","1",4,4,25000,0
"2573",5682,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,1,0,"4",6,1,1,36,0,443,0,6,"1","1",4,4,20000,1
"2580",5689,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,1,1,0,"4",7,1,2,140,0,224,3,6,"1","1",4,4,24000,1
"2583",5693,9,"1","36","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,2,2,0,"4",12,1,1,80,0,350,4,7,"1","1",4,4,30000,1
"2584",5694,9,"2","31","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,0,0,"4",5,1,2,32,0,248,2,3,"1","1",2,2,18000,1
"2590",5703,9,"1","31","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,3,1,0,"4",6,1,1,46,0,166,4,6,"1","1",3,3,15000,1
"2592",5706,9,"1","35","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,1,0,"4",10,1,1,28,0,399,0,7,"1","1",4,4,30000,1
"2593",5707,9,"1","32","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,0,0,"4",8,1,1,56,0,211,1,7,"1","1",4,4,30000,1
"2594",5708,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,3,3,1,"2",8,1,1,98,0,260,6,3,"1","1",3,3,19000,0
"2598",5713,9,"2","31","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,3,0,"4",2,1,1,56,0,500,0,3,"1","1",3,3,9500,1
"2599",5714,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,3,1,1,"2",15,1,1,31,0,352,2,7,"1","1",4,4,20000,0
"2601",5719,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,2,0,"2",8,1,1,98,0,120,1,7,"1","1",5,5,10500,0
"2602",5720,9,"2","33","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,1,1,"4",5,1,2,14,0,500,0,4,"1","1",4,4,12500,1
"2603",5722,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,0,1,"2",2,1,0,14,0,180,0,4,"1","0",3,3,9500,0
"2605",5724,9,"2","34","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,4,4,0,"4",10,1,2,57,0,459,5,3,"1","1",4,4,25000,1
"2609",5728,9,"1","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,0,0,"4",6,1,1,21,0,164,0,6,"1","1",3,3,20000,1
"2610",5729,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,4,5,"4",12,1,2,76,0,260,4,6,"1","1",4,4,30000,1
"2612",5731,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,1,0,0,"4",10,1,1,28,0,48,0,4,"1","1",5,5,12500,1
"2615",5735,9,"2","29","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,2,2,0,"1",11,1,1,86,0,500,0,4,"1","1",5,5,15500,0
"2618",5740,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,1,1,1,"4",13,1,1,100,0,500,0,8,"1","0",5,4,13600,1
"2620",5742,9,"2","27","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,1,1,0,"4",8,1,1,50,0,225,0,6,"1","0",5,5,15000,1
"2629",5751,9,"2","35","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,5,4,"4",11,1,1,85,0,201,9,4,"1","1",3,3,14000,1
"2633",5755,9,"1","32","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,2,0,"4",8,1,1,11,0,33,0,7,"1","1",5,5,16300,1
"2635",5757,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,0,1,"4",10,1,2,31,0,490,0,3,"1","1",3,2,14000,1
"2639",5764,9,"1","36","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,1,0,"4",5,1,1,51,0,500,0,4,"1","1",5,4,17200,1
"2640",5765,9,"2","32","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,1,1,1,"4",9,1,1,55,0,161,2,5,"1","1",4,3,19000,1
"2646",5774,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,0,0,"4",6,1,1,13,0,290,0,6,"1","1",2,2,16000,1
"2648",5778,9,"1","29","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,4,5,2,"1",8,1,2,157,0,253,2,3,"1","1",5,5,16500,0
"2652",5783,9,"2","31","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,2,0,1,"4",9,1,2,10,0,500,0,4,"1","1",5,4,12500,1
"2657",5789,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,3,3,"4",9,1,1,54,0,329,3,3,"1","1",4,4,10500,1
"2660",5794,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,2,0,1,"4",8,1,1,50,0,260,1,10,"1","1",5,5,12500,1
"2661",5795,9,"1","35","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,1,0,"4",8,1,1,37,0,240,0,3,"1","1",5,5,14500,1
"2668",5804,9,"1","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,1,0,"4",9,1,1,80,0,500,1,6,"1","1",3,3,18000,1
"2671",5809,9,"2","30","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,6,4,"4",7,1,1,15,0,211,0,4,"1","1",3,3,15000,1
"2672",5811,9,"2","29","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,1,5,1,"4",5,1,2,40,0,320,4,7,"1","1",3,2,16000,1
"2682",5825,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,4,2,1,"2",15,1,1,85,0,143,1,4,"1","1",5,5,15000,0
"2696",5852,9,"2","35","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,1,0,2,"4",8,1,2,48,0,87,0,6,"1","0",5,5,12500,1
"2700",5858,9,"1","32","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,2,1,"4",8,1,1,29,0,361,0,4,"1","1",5,5,14500,1
"2703",5861,9,"2","31","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,0,4,2,"4",6,1,1,71,0,194,5,2,"1","1",4,4,20000,1
"2705",5864,9,"1","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,3,1,"2",9,1,1,49,0,500,0,3,"1","1",4,4,17000,0
"2707",5868,9,"1","32","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,1,2,0,"4",5,1,1,27,0,248,0,3,"1","1",5,4,10500,1
"2708",5870,9,"1","34","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,4,3,2,"4",11,1,1,53,0,500,0,7,"1","1",5,4,12500,1
"2709",5871,9,"2","32","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,2,4,0,"4",9,1,1,26,0,441,1,5,"1","1",3,3,20000,1
"2717",5881,9,"2","31","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,3,4,4,"2",3,1,2,78,0,375,1,2,"1","1",3,3,20000,0
"2719",5885,9,"2","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,0,2,"4",5,1,1,34,0,91,0,5,"1","1",2,2,18000,1
"2727",5895,9,"1","31","2",2557,"BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA",1,2,5,1,"4",3,1,1,122,0,69,0,3,"1","1",5,5,20000,1
